"GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"GO:0006368","transcription elongation from RNA polymerase II promoter",44,44,43.73,"0.63241"
"GO:0010646","regulation of cell communication",2303,2285,2288.83,"0.63244"
"GO:0006559","L-phenylalanine catabolic process",3,3,2.98,"0.63260"
"GO:0032060","bleb assembly",10,10,9.94,"0.63284"
"GO:2000481","positive regulation of cAMP-dependent protein kinase activity",4,4,3.98,"0.63298"
"GO:0060401","cytosolic calcium ion transport",116,114,115.29,"0.63329"
"GO:1901383","negative regulation of chorionic trophoblast cell proliferation",1,1,0.99,"0.63358"
"GO:0051461","positive regulation of corticotropin secretion",3,3,2.98,"0.63366"
"GO:0048210","Golgi vesicle fusion to target membrane",3,3,2.98,"0.63366"
"GO:0050775","positive regulation of dendrite morphogenesis",49,49,48.7,"0.63366"
"GO:0010818","T cell chemotaxis",15,15,14.91,"0.63378"
"GO:0009087","methionine catabolic process",1,1,0.99,"0.63387"
"GO:0031161","phosphatidylinositol catabolic process",3,3,2.98,"0.63394"
"GO:0001996","positive regulation of heart rate by epinephrine-norepinephrine",2,2,1.99,"0.63402"
"GO:0001997","positive regulation of the force of heart contraction by epinephrine-norepinephrine",2,2,1.99,"0.63402"
"GO:1901631","positive regulation of presynaptic membrane organization",2,2,1.99,"0.63405"
"GO:0045818","negative regulation of glycogen catabolic process",1,1,0.99,"0.63406"
"GO:0001987","vasoconstriction of artery involved in baroreceptor response to lowering of systemic arterial blood pressure",1,1,0.99,"0.63406"
"GO:2000850","negative regulation of glucocorticoid secretion",3,3,2.98,"0.63421"
"GO:0035020","regulation of Rac protein signal transduction",16,16,15.9,"0.63429"
"GO:0050806","positive regulation of synaptic transmission",114,111,113.3,"0.63454"
"GO:0018293","protein-FAD linkage",1,1,0.99,"0.63464"
"GO:0030219","megakaryocyte differentiation",52,52,51.68,"0.63468"
"GO:0006392","transcription elongation from mitochondrial promoter",1,1,0.99,"0.63474"
"GO:0009312","oligosaccharide biosynthetic process",9,9,8.94,"0.63501"
"GO:0071529","cementum mineralization",1,1,0.99,"0.63532"
"GO:0036123","histone H3-K9 dimethylation",5,5,4.97,"0.63552"
"GO:0010897","negative regulation of triglyceride catabolic process",4,4,3.98,"0.63554"
"GO:0090276","regulation of peptide hormone secretion",136,135,135.16,"0.63598"
"GO:2001022","positive regulation of response to DNA damage stimulus",95,95,94.42,"0.63601"
"GO:0009404","toxin metabolic process",7,7,6.96,"0.63607"
"GO:0002854","positive regulation of T cell mediated cytotoxicity directed against tumor cell target",1,1,0.99,"0.63610"
"GO:0032765","positive regulation of mast cell cytokine production",2,2,1.99,"0.63624"
"GO:0010801","negative regulation of peptidyl-threonine phosphorylation",17,17,16.9,"0.63647"
"GO:1900078","positive regulation of cellular response to insulin stimulus",20,19,19.88,"0.63684"
"GO:2000376","positive regulation of oxygen metabolic process",1,1,0.99,"0.63687"
"GO:0030030","cell projection organization",1121,1117,1114.1,"0.63692"
"GO:0002573","myeloid leukocyte differentiation",174,171,172.93,"0.63695"
"GO:0042023","DNA endoreduplication",5,5,4.97,"0.63717"
"GO:1990261","pre-mRNA catabolic process",1,1,0.99,"0.63735"
"GO:0071931","positive regulation of transcription involved in G1/S transition of mitotic cell cycle",1,1,0.99,"0.63735"
"GO:1901565","organonitrogen compound catabolic process",968,960,962.04,"0.63736"
"GO:0002879","positive regulation of acute inflammatory response to non-antigenic stimulus",1,1,0.99,"0.63745"
"GO:0006930","substrate-dependent cell migration, cell extension",7,7,6.96,"0.63747"
"GO:0060441","epithelial tube branching involved in lung morphogenesis",20,20,19.88,"0.63757"
"GO:0000185","activation of MAPKKK activity",9,8,8.94,"0.63762"
"GO:0050872","white fat cell differentiation",13,13,12.92,"0.63781"
"GO:0045616","regulation of keratinocyte differentiation",19,19,18.88,"0.63820"
"GO:0042369","vitamin D catabolic process",1,1,0.99,"0.63822"
"GO:0060431","primary lung bud formation",3,3,2.98,"0.63831"
"GO:1902951","negative regulation of dendritic spine maintenance",4,4,3.98,"0.63840"
"GO:0044524","protein sulfhydration",1,1,0.99,"0.63842"
"GO:1904831","positive regulation of aortic smooth muscle cell differentiation",1,1,0.99,"0.63842"
"GO:0019343","cysteine biosynthetic process via cystathionine",1,1,0.99,"0.63842"
"GO:0018272","protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine",1,1,0.99,"0.63842"
"GO:0099074","mitochondrion to lysosome transport",3,3,2.98,"0.63851"
"GO:0006283","transcription-coupled nucleotide-excision repair",10,10,9.94,"0.63855"
"GO:0060033","anatomical structure regression",9,9,8.94,"0.63860"
"GO:0009086","methionine biosynthetic process",10,10,9.94,"0.63876"
"GO:0006616","SRP-dependent cotranslational protein targeting to membrane, translocation",8,8,7.95,"0.63880"
"GO:0006186","dGDP phosphorylation",1,1,0.99,"0.63890"
"GO:0006174","dADP phosphorylation",1,1,0.99,"0.63890"
"GO:0061565","dAMP phosphorylation",1,1,0.99,"0.63890"
"GO:0061566","CMP phosphorylation",1,1,0.99,"0.63890"
"GO:0061567","dCMP phosphorylation",1,1,0.99,"0.63890"
"GO:0061568","GDP phosphorylation",1,1,0.99,"0.63890"
"GO:0061569","UDP phosphorylation",1,1,0.99,"0.63890"
"GO:0061570","dCDP phosphorylation",1,1,0.99,"0.63890"
"GO:0061571","TDP phosphorylation",1,1,0.99,"0.63890"
"GO:0061508","CDP phosphorylation",1,1,0.99,"0.63890"
"GO:0006757","ATP generation from ADP",71,71,70.56,"0.63918"
"GO:1990785","response to water-immersion restraint stress",1,1,0.99,"0.63938"
"GO:0022010","central nervous system myelination",16,16,15.9,"0.63943"
"GO:0071294","cellular response to zinc ion",6,6,5.96,"0.63959"
"GO:0033173","calcineurin-NFAT signaling cascade",38,38,37.77,"0.64004"
"GO:0060447","bud outgrowth involved in lung branching",2,2,1.99,"0.64006"
"GO:0046879","hormone secretion",199,197,197.78,"0.64016"
"GO:0030856","regulation of epithelial cell differentiation",91,91,90.44,"0.64018"
"GO:0035945","mitochondrial ncRNA surveillance",1,1,0.99,"0.64025"
"GO:0035946","mitochondrial mRNA surveillance",1,1,0.99,"0.64025"
"GO:0000965","mitochondrial RNA 3'-end processing",5,5,4.97,"0.64026"
"GO:0010663","positive regulation of striated muscle cell apoptotic process",17,17,16.9,"0.64030"
"GO:0016266","O-glycan processing",6,6,5.96,"0.64062"
"GO:0021615","glossopharyngeal nerve morphogenesis",3,3,2.98,"0.64080"
"GO:0006289","nucleotide-excision repair",54,54,53.67,"0.64086"
"GO:0033955","mitochondrial DNA inheritance",1,1,0.99,"0.64112"
"GO:0032274","gonadotropin secretion",6,6,5.96,"0.64138"
"GO:0006970","response to osmotic stress",56,56,55.66,"0.64144"
"GO:0042247","establishment of planar polarity of follicular epithelium",1,1,0.99,"0.64180"
"GO:0031915","positive regulation of synaptic plasticity",11,11,10.93,"0.64200"
"GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion",8,8,7.95,"0.64205"
"GO:1900029","positive regulation of ruffle assembly",11,11,10.93,"0.64209"
"GO:0046627","negative regulation of insulin receptor signaling pathway",30,30,29.82,"0.64215"
"GO:0002250","adaptive immune response",331,328,328.96,"0.64223"
"GO:0030101","natural killer cell activation",61,61,60.62,"0.64244"
"GO:0019538","protein metabolic process",3897,3866,3873.02,"0.64257"
"GO:0060709","glycogen cell differentiation involved in embryonic placenta development",1,1,0.99,"0.64257"
"GO:2000825","positive regulation of androgen receptor activity",3,3,2.98,"0.64281"
"GO:0060158","phospholipase C-activating dopamine receptor signaling pathway",5,5,4.97,"0.64288"
"GO:1902109","negative regulation of mitochondrial membrane permeability involved in apoptotic process",3,3,2.98,"0.64298"
"GO:0055070","copper ion homeostasis",15,15,14.91,"0.64309"
"GO:0018142","protein-DNA covalent cross-linking",1,1,0.99,"0.64315"
"GO:0043403","skeletal muscle tissue regeneration",27,27,26.83,"0.64323"
"GO:0009798","axis specification",53,53,52.67,"0.64340"
"GO:1905437","positive regulation of histone H3-K4 trimethylation",2,2,1.99,"0.64355"
"GO:1904109","positive regulation of cholesterol import",4,4,3.98,"0.64356"
"GO:0043553","negative regulation of phosphatidylinositol 3-kinase activity",4,4,3.98,"0.64356"
"GO:0042483","negative regulation of odontogenesis",3,3,2.98,"0.64364"
"GO:0003192","mitral valve formation",3,3,2.98,"0.64370"
"GO:0007084","mitotic nuclear envelope reassembly",3,3,2.98,"0.64376"
"GO:0001702","gastrulation with mouth forming second",21,21,20.87,"0.64386"
"GO:0070507","regulation of microtubule cytoskeleton organization",169,167,167.96,"0.64408"
"GO:0043588","skin development",157,157,156.03,"0.64417"
"GO:0042797","tRNA transcription by RNA polymerase III",1,1,0.99,"0.64441"
"GO:0090306","spindle assembly involved in meiosis",6,6,5.96,"0.64444"
"GO:0070086","ubiquitin-dependent endocytosis",4,4,3.98,"0.64461"
"GO:0019918","peptidyl-arginine methylation, to symmetrical-dimethyl arginine",1,1,0.99,"0.64518"
"GO:0031018","endocrine pancreas development",22,22,21.86,"0.64531"
"GO:0032481","positive regulation of type I interferon production",51,51,50.69,"0.64547"
"GO:0051149","positive regulation of muscle cell differentiation",58,58,57.64,"0.64580"
"GO:0016080","synaptic vesicle targeting",2,2,1.99,"0.64587"
"GO:0006900","vesicle budding from membrane",56,56,55.66,"0.64597"
"GO:0060769","positive regulation of epithelial cell proliferation involved in prostate gland development",2,2,1.99,"0.64601"
"GO:0008049","male courtship behavior",2,2,1.99,"0.64601"
"GO:0048808","male genitalia morphogenesis",2,2,1.99,"0.64601"
"GO:0060174","limb bud formation",4,4,3.98,"0.64661"
"GO:1903422","negative regulation of synaptic vesicle recycling",2,2,1.99,"0.64677"
"GO:0009106","lipoate metabolic process",2,2,1.99,"0.64687"
"GO:0051068","dihydrolipoamide metabolic process",1,1,0.99,"0.64691"
"GO:1902277","negative regulation of pancreatic amylase secretion",1,1,0.99,"0.64711"
"GO:0048846","axon extension involved in axon guidance",21,21,20.87,"0.64720"
"GO:0036486","ventral trunk neural crest cell migration",2,2,1.99,"0.64737"
"GO:0021828","gonadotrophin-releasing hormone neuronal migration to the hypothalamus",2,2,1.99,"0.64737"
"GO:0021649","vestibulocochlear nerve structural organization",2,2,1.99,"0.64737"
"GO:1901166","neural crest cell migration involved in autonomic nervous system development",2,2,1.99,"0.64737"
"GO:1904835","dorsal root ganglion morphogenesis",2,2,1.99,"0.64737"
"GO:0061551","trigeminal ganglion development",2,2,1.99,"0.64737"
"GO:0097374","sensory neuron axon guidance",2,2,1.99,"0.64737"
"GO:0097490","sympathetic neuron projection extension",2,2,1.99,"0.64737"
"GO:0097491","sympathetic neuron projection guidance",2,2,1.99,"0.64737"
"GO:1903375","facioacoustic ganglion development",2,2,1.99,"0.64737"
"GO:0045773","positive regulation of axon extension",45,45,44.72,"0.64756"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",11,11,10.93,"0.64777"
"GO:0042326","negative regulation of phosphorylation",370,366,367.72,"0.64788"
"GO:0014853","regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction",2,2,1.99,"0.64798"
"GO:0033089","positive regulation of T cell differentiation in thymus",10,10,9.94,"0.64800"
"GO:0034629","cellular protein-containing complex localization",25,25,24.85,"0.64848"
"GO:0097403","cellular response to raffinose",1,1,0.99,"0.64875"
"GO:0003342","proepicardium development",1,1,0.99,"0.64875"
"GO:0048679","regulation of axon regeneration",29,29,28.82,"0.64875"
"GO:1901340","negative regulation of store-operated calcium channel activity",1,1,0.99,"0.64884"
"GO:0031086","nuclear-transcribed mRNA catabolic process, deadenylation-independent decay",6,6,5.96,"0.64891"
"GO:0042413","carnitine catabolic process",1,1,0.99,"0.64894"
"GO:0048489","synaptic vesicle transport",41,40,40.75,"0.64931"
"GO:2000811","negative regulation of anoikis",11,10,10.93,"0.64946"
"GO:2000435","negative regulation of protein neddylation",3,3,2.98,"0.64950"
"GO:0050773","regulation of dendrite development",150,149,149.08,"0.64960"
"GO:0021830","interneuron migration from the subpallium to the cortex",2,2,1.99,"0.64976"
"GO:0070571","negative regulation of neuron projection regeneration",15,15,14.91,"0.64993"
"GO:0072091","regulation of stem cell proliferation",51,51,50.69,"0.64995"
"GO:0030032","lamellipodium assembly",54,54,53.67,"0.64997"
"GO:0007249","I-kappaB kinase/NF-kappaB signaling",189,187,187.84,"0.65015"
"GO:0060028","convergent extension involved in axis elongation",3,3,2.98,"0.65033"
"GO:0046328","regulation of JNK cascade",146,145,145.1,"0.65035"
"GO:0006297","nucleotide-excision repair, DNA gap filling",5,5,4.97,"0.65065"
"GO:0007519","skeletal muscle tissue development",113,112,112.3,"0.65077"
"GO:0099612","protein localization to axon",8,8,7.95,"0.65091"
"GO:0009790","embryo development",806,802,801.04,"0.65094"
"GO:0071608","macrophage inflammatory protein-1 alpha production",6,6,5.96,"0.65103"
"GO:0006940","regulation of smooth muscle contraction",38,38,37.77,"0.65111"
"GO:1990384","hyaloid vascular plexus regression",3,3,2.98,"0.65111"
"GO:1904719","positive regulation of AMPA glutamate receptor clustering",4,4,3.98,"0.65114"
"GO:0032498","detection of muramyl dipeptide",1,1,0.99,"0.65125"
"GO:0006965","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria",1,1,0.99,"0.65125"
"GO:0060585","positive regulation of prostaglandin-endoperoxide synthase activity",1,1,0.99,"0.65125"
"GO:0002732","positive regulation of dendritic cell cytokine production",7,7,6.96,"0.65128"
"GO:0090234","regulation of kinetochore assembly",3,3,2.98,"0.65145"
"GO:2000347","positive regulation of hepatocyte proliferation",11,11,10.93,"0.65146"
"GO:0042178","xenobiotic catabolic process",12,12,11.93,"0.65149"
"GO:1903788","positive regulation of glutathione biosynthetic process",2,2,1.99,"0.65160"
"GO:1901874","negative regulation of post-translational protein modification",3,3,2.98,"0.65167"
"GO:0150032","positive regulation of protein localization to lysosome",2,2,1.99,"0.65173"
"GO:0060427","lung connective tissue development",1,1,0.99,"0.65174"
"GO:0060658","nipple morphogenesis",1,1,0.99,"0.65174"
"GO:0044089","positive regulation of cellular component biogenesis",411,407,408.47,"0.65177"
"GO:0042494","detection of bacterial lipoprotein",4,4,3.98,"0.65189"
"GO:0061874","positive regulation of hepatic stellate cell contraction",1,1,0.99,"0.65193"
"GO:0043153","entrainment of circadian clock by photoperiod",24,24,23.85,"0.65193"
"GO:0010046","response to mycotoxin",2,2,1.99,"0.65221"
"GO:0006526","arginine biosynthetic process",4,4,3.98,"0.65226"
"GO:0042489","negative regulation of odontogenesis of dentin-containing tooth",1,1,0.99,"0.65251"
"GO:0032811","negative regulation of epinephrine secretion",2,2,1.99,"0.65262"
"GO:0042640","anagen",8,8,7.95,"0.65279"
"GO:0046903","secretion",699,692,694.7,"0.65294"
"GO:0043542","endothelial cell migration",149,148,148.08,"0.65298"
"GO:0032703","negative regulation of interleukin-2 production",19,19,18.88,"0.65302"
"GO:0061709","reticulophagy",11,11,10.93,"0.65321"
"GO:0046880","regulation of follicle-stimulating hormone secretion",3,3,2.98,"0.65348"
"GO:0032385","positive regulation of intracellular cholesterol transport",3,3,2.98,"0.65377"
"GO:2000291","regulation of myoblast proliferation",7,7,6.96,"0.65383"
"GO:1901373","lipid hydroperoxide transport",1,1,0.99,"0.65386"
"GO:0099641","anterograde axonal protein transport",8,8,7.95,"0.65421"
"GO:2000439","positive regulation of monocyte extravasation",3,3,2.98,"0.65423"
"GO:0036413","histone H3-R26 citrullination",2,2,1.99,"0.65426"
"GO:0072711","cellular response to hydroxyurea",12,12,11.93,"0.65431"
"GO:0050920","regulation of chemotaxis",155,154,154.05,"0.65441"
"GO:0021870","Cajal-Retzius cell differentiation",1,1,0.99,"0.65463"
"GO:0034198","cellular response to amino acid starvation",41,40,40.75,"0.65463"
"GO:0042791","5S class rRNA transcription by RNA polymerase III",1,1,0.99,"0.65472"
"GO:0043269","regulation of ion transport",427,423,424.37,"0.65492"
"GO:0070966","nuclear-transcribed mRNA catabolic process, no-go decay",4,4,3.98,"0.65499"
"GO:0035635","entry of bacterium into host cell",5,5,4.97,"0.65522"
"GO:0006011","UDP-glucose metabolic process",2,2,1.99,"0.65535"
"GO:0001706","endoderm formation",23,23,22.86,"0.65554"
"GO:0001819","positive regulation of cytokine production",355,355,352.82,"0.65579"
"GO:0009247","glycolipid biosynthetic process",49,49,48.7,"0.65584"
"GO:0070625","zymogen granule exocytosis",2,2,1.99,"0.65603"
"GO:0045198","establishment of epithelial cell apical/basal polarity",11,11,10.93,"0.65605"
"GO:0051260","protein homooligomerization",121,121,120.26,"0.65625"
"GO:0051099","positive regulation of binding",165,161,163.98,"0.65629"
"GO:0048698","negative regulation of collateral sprouting in absence of injury",1,1,0.99,"0.65636"
"GO:0070837","dehydroascorbic acid transport",5,5,4.97,"0.65668"
"GO:0032825","positive regulation of natural killer cell differentiation",9,9,8.94,"0.65692"
"GO:0051147","regulation of muscle cell differentiation",118,117,117.27,"0.65722"
"GO:0006699","bile acid biosynthetic process",9,9,8.94,"0.65724"
"GO:0046579","positive regulation of Ras protein signal transduction",50,49,49.69,"0.65726"
"GO:0002038","positive regulation of L-glutamate import across plasma membrane",3,3,2.98,"0.65727"
"GO:0031098","stress-activated protein kinase signaling cascade",209,207,207.71,"0.65728"
"GO:0035641","locomotory exploration behavior",9,9,8.94,"0.65734"
"GO:0019086","late viral transcription",3,3,2.98,"0.65756"
"GO:0048144","fibroblast proliferation",85,85,84.48,"0.65775"
"GO:0061333","renal tubule morphogenesis",43,43,42.74,"0.65780"
"GO:0032464","positive regulation of protein homooligomerization",1,1,0.99,"0.65800"
"GO:1905123","regulation of glucosylceramidase activity",2,2,1.99,"0.65807"
"GO:0016243","regulation of autophagosome size",2,2,1.99,"0.65807"
"GO:0009411","response to UV",128,127,127.21,"0.65809"
"GO:0070827","chromatin maintenance",8,8,7.95,"0.65814"
"GO:0043084","penile erection",7,7,6.96,"0.65819"
"GO:0010640","regulation of platelet-derived growth factor receptor signaling pathway",19,18,18.88,"0.65826"
"GO:0003376","sphingosine-1-phosphate receptor signaling pathway",4,4,3.98,"0.65841"
"GO:0060215","primitive hemopoiesis",10,10,9.94,"0.65853"
"GO:0043366","beta selection",3,3,2.98,"0.65873"
"GO:0003157","endocardium development",8,8,7.95,"0.65879"
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition",12,12,11.93,"0.65897"
"GO:0032205","negative regulation of telomere maintenance",35,35,34.78,"0.65910"
"GO:0006497","protein lipidation",84,84,83.48,"0.65916"
"GO:0097300","programmed necrotic cell death",39,39,38.76,"0.65916"
"GO:1905317","inferior endocardial cushion morphogenesis",1,1,0.99,"0.65925"
"GO:0060434","bronchus morphogenesis",1,1,0.99,"0.65925"
"GO:0002663","positive regulation of B cell tolerance induction",1,1,0.99,"0.65925"
"GO:0002651","positive regulation of tolerance induction to self antigen",1,1,0.99,"0.65925"
"GO:0060836","lymphatic endothelial cell differentiation",3,3,2.98,"0.65945"
"GO:0001823","mesonephros development",52,52,51.68,"0.65951"
"GO:0033210","leptin-mediated signaling pathway",10,9,9.94,"0.65958"
"GO:0031247","actin rod assembly",1,1,0.99,"0.65973"
"GO:0080154","regulation of fertilization",14,14,13.91,"0.65973"
"GO:0048705","skeletal system morphogenesis",137,135,136.16,"0.65985"
"GO:0097284","hepatocyte apoptotic process",15,14,14.91,"0.65996"
"GO:0044154","histone H3-K14 acetylation",14,14,13.91,"0.66001"
"GO:0021897","forebrain astrocyte development",2,2,1.99,"0.66031"
"GO:0070278","extracellular matrix constituent secretion",10,10,9.94,"0.66031"
"GO:0031529","ruffle organization",46,46,45.72,"0.66042"
"GO:0090172","microtubule cytoskeleton organization involved in homologous chromosome segregation",1,1,0.99,"0.66059"
"GO:0034397","telomere localization",7,7,6.96,"0.66062"
"GO:0090220","chromosome localization to nuclear envelope involved in homologous chromosome segregation",7,7,6.96,"0.66062"
"GO:0032375","negative regulation of cholesterol transport",7,7,6.96,"0.66091"
"GO:0044546","NLRP3 inflammasome complex assembly",16,16,15.9,"0.66099"
"GO:0009952","anterior/posterior pattern specification",113,112,112.3,"0.66105"
"GO:0051012","microtubule sliding",2,2,1.99,"0.66113"
"GO:1905526","regulation of Golgi lumen acidification",2,2,1.99,"0.66122"
"GO:0042255","ribosome assembly",62,62,61.62,"0.66127"
"GO:0051150","regulation of smooth muscle cell differentiation",23,23,22.86,"0.66130"
"GO:0032286","central nervous system myelin maintenance",3,3,2.98,"0.66167"
"GO:0043654","recognition of apoptotic cell",4,4,3.98,"0.66173"
"GO:0006464","cellular protein modification process",2748,2724,2731.09,"0.66185"
"GO:0030913","paranodal junction assembly",6,6,5.96,"0.66194"
"GO:0018166","C-terminal protein-tyrosinylation",1,1,0.99,"0.66203"
"GO:0032259","methylation",288,288,286.23,"0.66205"
"GO:1901984","negative regulation of protein acetylation",21,20,20.87,"0.66207"
"GO:2000157","negative regulation of ubiquitin-specific protease activity",2,2,1.99,"0.66215"
"GO:1903094","negative regulation of protein K48-linked deubiquitination",2,2,1.99,"0.66215"
"GO:0019249","lactate biosynthetic process",5,5,4.97,"0.66222"
"GO:0046635","positive regulation of alpha-beta T cell activation",56,56,55.66,"0.66223"
"GO:0071493","cellular response to UV-B",7,7,6.96,"0.66255"
"GO:0033500","carbohydrate homeostasis",185,183,183.86,"0.66276"
"GO:0021506","anterior neuropore closure",1,1,0.99,"0.66290"
"GO:0032185","septin cytoskeleton organization",3,3,2.98,"0.66320"
"GO:0035552","oxidative single-stranded DNA demethylation",2,2,1.99,"0.66323"
"GO:0035494","SNARE complex disassembly",3,3,2.98,"0.66339"
"GO:0071466","cellular response to xenobiotic stimulus",41,41,40.75,"0.66343"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",362,359,359.77,"0.66365"
"GO:1901006","ubiquinone-6 biosynthetic process",1,1,0.99,"0.66376"
"GO:0006474","N-terminal protein amino acid acetylation",15,15,14.91,"0.66382"
"GO:0070673","response to interleukin-18",9,9,8.94,"0.66385"
"GO:0043630","ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process",1,1,0.99,"0.66405"
"GO:0099093","calcium export from the mitochondrion",2,2,1.99,"0.66425"
"GO:0039702","viral budding via host ESCRT complex",11,11,10.93,"0.66437"
"GO:0090520","sphingolipid mediated signaling pathway",6,6,5.96,"0.66455"
"GO:0033004","negative regulation of mast cell activation",9,9,8.94,"0.66463"
"GO:0072678","T cell migration",47,47,46.71,"0.66475"
"GO:0070474","positive regulation of uterine smooth muscle contraction",2,2,1.99,"0.66486"
"GO:0009450","gamma-aminobutyric acid catabolic process",2,2,1.99,"0.66486"
"GO:0050651","dermatan sulfate proteoglycan biosynthetic process",5,5,4.97,"0.66507"
"GO:0071260","cellular response to mechanical stimulus",22,22,21.86,"0.66515"
"GO:0043405","regulation of MAP kinase activity",224,222,222.62,"0.66538"
"GO:0045176","apical protein localization",9,9,8.94,"0.66538"
"GO:0051122","hepoxilin biosynthetic process",8,8,7.95,"0.66555"
"GO:2000312","regulation of kainate selective glutamate receptor activity",2,2,1.99,"0.66595"
"GO:0006267","pre-replicative complex assembly involved in nuclear cell cycle DNA replication",8,8,7.95,"0.66599"
"GO:0048715","negative regulation of oligodendrocyte differentiation",10,10,9.94,"0.66613"
"GO:0008299","isoprenoid biosynthetic process",19,19,18.88,"0.66621"
"GO:0090152","establishment of protein localization to mitochondrial membrane involved in mitochondrial fission",2,2,1.99,"0.66663"
"GO:0060988","lipid tube assembly",2,2,1.99,"0.66676"
"GO:0043486","histone exchange",16,16,15.9,"0.66680"
"GO:0002331","pre-B cell allelic exclusion",3,3,2.98,"0.66683"
"GO:0090162","establishment of epithelial cell polarity",25,25,24.85,"0.66690"
"GO:0007422","peripheral nervous system development",46,46,45.72,"0.66698"
"GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic",31,31,30.81,"0.66707"
"GO:0060396","growth hormone receptor signaling pathway",13,13,12.92,"0.66734"
"GO:0046855","inositol phosphate dephosphorylation",15,15,14.91,"0.66744"
"GO:0051174","regulation of phosphorus metabolic process",1257,1246,1249.27,"0.66786"
"GO:0045605","negative regulation of epidermal cell differentiation",6,6,5.96,"0.66815"
"GO:0048859","formation of anatomical boundary",2,2,1.99,"0.66819"
"GO:1905171","positive regulation of protein localization to phagocytic vesicle",3,3,2.98,"0.66838"
"GO:0070842","aggresome assembly",5,5,4.97,"0.66850"
"GO:0010636","positive regulation of mitochondrial fusion",5,5,4.97,"0.66850"
"GO:1903828","negative regulation of cellular protein localization",102,101,101.37,"0.66856"
"GO:0055059","asymmetric neuroblast division",5,5,4.97,"0.66860"
"GO:0070932","histone H3 deacetylation",15,15,14.91,"0.66868"
"GO:0072719","cellular response to cisplatin",4,4,3.98,"0.66883"
"GO:0039694","viral RNA genome replication",27,27,26.83,"0.66891"
"GO:0050902","leukocyte adhesive activation",2,2,1.99,"0.66893"
"GO:0043410","positive regulation of MAPK cascade",354,352,351.82,"0.66898"
"GO:0042417","dopamine metabolic process",23,22,22.86,"0.66905"
"GO:0070716","mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication",1,1,0.99,"0.66933"
"GO:0061015","snRNA import into nucleus",2,2,1.99,"0.66941"
"GO:0000727","double-strand break repair via break-induced replication",12,12,11.93,"0.66954"
"GO:0042543","protein N-linked glycosylation via arginine",1,1,0.99,"0.66981"
"GO:0033030","negative regulation of neutrophil apoptotic process",4,4,3.98,"0.66984"
"GO:0031581","hemidesmosome assembly",4,4,3.98,"0.66994"
"GO:0030916","otic vesicle formation",2,2,1.99,"0.66995"
"GO:0046668","regulation of retinal cell programmed cell death",3,3,2.98,"0.67001"
"GO:0070184","mitochondrial tyrosyl-tRNA aminoacylation",1,1,0.99,"0.67019"
"GO:0008089","anterograde axonal transport",39,39,38.76,"0.67026"
"GO:0006694","steroid biosynthetic process",100,100,99.38,"0.67031"
"GO:0036364","transforming growth factor beta1 activation",2,2,1.99,"0.67044"
"GO:1904431","positive regulation of t-circle formation",3,3,2.98,"0.67048"
"GO:0033197","response to vitamin E",2,2,1.99,"0.67056"
"GO:0072553","terminal button organization",6,6,5.96,"0.67063"
"GO:0032025","response to cobalt ion",3,3,2.98,"0.67126"
"GO:1902260","negative regulation of delayed rectifier potassium channel activity",4,4,3.98,"0.67147"
"GO:1900148","negative regulation of Schwann cell migration",2,2,1.99,"0.67151"
"GO:0036337","Fas signaling pathway",4,4,3.98,"0.67156"
"GO:0021513","spinal cord dorsal/ventral patterning",7,7,6.96,"0.67172"
"GO:0060088","auditory receptor cell stereocilium organization",14,14,13.91,"0.67175"
"GO:0001806","type IV hypersensitivity",4,4,3.98,"0.67179"
"GO:0048872","homeostasis of number of cells",280,273,278.28,"0.67194"
"GO:0098910","regulation of atrial cardiac muscle cell action potential",3,3,2.98,"0.67202"
"GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",102,99,101.37,"0.67206"
"GO:0006631","fatty acid metabolic process",255,252,253.43,"0.67210"
"GO:0098907","regulation of SA node cell action potential",1,1,0.99,"0.67211"
"GO:0036309","protein localization to M-band",1,1,0.99,"0.67211"
"GO:0036179","osteoclast maturation",1,1,0.99,"0.67230"
"GO:1901021","positive regulation of calcium ion transmembrane transporter activity",23,23,22.86,"0.67232"
"GO:0032815","negative regulation of natural killer cell activation",8,8,7.95,"0.67240"
"GO:0009435","NAD biosynthetic process",10,10,9.94,"0.67265"
"GO:0097167","circadian regulation of translation",4,4,3.98,"0.67267"
"GO:0006303","double-strand break repair via nonhomologous end joining",58,58,57.64,"0.67268"
"GO:0040030","regulation of molecular function, epigenetic",1,1,0.99,"0.67268"
"GO:1900114","positive regulation of histone H3-K9 trimethylation",3,3,2.98,"0.67269"
"GO:0071910","determination of liver left/right asymmetry",4,4,3.98,"0.67271"
